acquisition,seed,mae_before,mae_after,delta_mae_pct
Ensemble + Random,0,0.7249245064568859,0.7041623007781457,2.8640507382233213
Ensemble + Random,1,0.6721814960350923,0.6408126121186439,4.666728272271669
Ensemble + Random,2,0.7719201702847063,0.7518301671751959,2.6026011345319033
Ensemble + Random,3,0.8048262711490597,0.8570664165551543,-6.49085986364619
Ensemble + Random,4,0.8118316642786995,0.789215226289061,2.785853149708418
Ensemble + Random,5,0.6777229938686133,0.6826205022996713,-0.7226416213358429
Ensemble + Random,6,0.8070900977490276,0.7941544013063156,1.6027574218528513
Ensemble + Random,7,0.5754749961131322,0.5562135114723528,3.3470584770624647
Ensemble + Random,8,0.9072194545551381,0.8869860629420122,2.2302642995070547
Ensemble + Random,9,1.147209016134613,1.1579169091325612,-0.93338640538472
Ensemble + Uncertainty,0,0.7249245064568859,0.7108076533684384,1.947354926300459
Ensemble + Uncertainty,1,0.6721814960350924,0.697348499555256,-3.744078596125141
Ensemble + Uncertainty,2,0.7719201702847063,0.780663635652875,-1.1326903616139326
Ensemble + Uncertainty,3,0.8048262711490596,0.905774886954451,-12.54290763412406
Ensemble + Uncertainty,4,0.8118316642786995,0.8207785958084786,-1.1020673279266975
Ensemble + Uncertainty,5,0.6777229938686133,0.6623835968328029,2.2633726721074203
Ensemble + Uncertainty,6,0.8070900977490276,0.7596765761370907,5.874625614187698
Ensemble + Uncertainty,7,0.5754749961131322,0.5586781595669404,2.918777819999275
Ensemble + Uncertainty,8,0.9072194545551381,0.8962872742071817,1.2050204934501847
Ensemble + Uncertainty,9,1.147209016134613,1.094509514417556,4.593714046514529
GP + Random,0,0.767686348328446,0.7656083978786025,0.2706770094802393
GP + Random,1,0.7531683839449214,0.7470556188188964,0.811606707919382
GP + Random,2,0.7815087293717033,0.7380854645062432,5.5563377904134725
GP + Random,3,0.8589557212422617,0.870867943733081,-1.3868261420497014
GP + Random,4,0.6750100781793719,0.7103191000425562,-5.230888101466473
GP + Random,5,0.7573079992542066,0.7675780984477117,-1.3561324063154139
GP + Random,6,0.7758028932637765,0.7738155463836437,0.25616646926542125
GP + Random,7,0.5683036581754862,0.5063615025335022,10.89948212560281
GP + Random,8,1.0115884660473866,1.0065406120978406,0.4990027188891978
GP + Random,9,1.008716165220852,1.002507958740325,0.6154562298669879
GP + UCB (κ=2),0,0.767686348328446,0.7699362630858189,-0.2930773436667009
GP + UCB (κ=2),1,0.7531683839449214,0.7769506233142074,-3.157625821296451
GP + UCB (κ=2),2,0.7815087293717033,0.7379833935696833,5.569398544916107
GP + UCB (κ=2),3,0.8589557212422617,0.8522294808740808,0.7830718396581751
GP + UCB (κ=2),4,0.6750100781793719,0.6718737781255163,0.4646301077925761
GP + UCB (κ=2),5,0.7573079992542066,0.7509493458472584,0.8396390125563393
GP + UCB (κ=2),6,0.7758028932637765,0.744553251799147,4.028038788713885
GP + UCB (κ=2),7,0.5683036581754862,0.5393922891562389,5.087310032820476
GP + UCB (κ=2),8,1.0115884660473866,0.9852665339351205,2.6020395640842606
GP + UCB (κ=2),9,1.008716165220852,1.0566858942246606,-4.755522976406937
GP + EI,0,0.767686348328446,0.7702386495626242,-0.3324666694589043
GP + EI,1,0.7531683839449214,0.7746269671428423,-2.8491083342513464
GP + EI,2,0.7815087293717033,0.7463457302454924,4.499373814350138
GP + EI,3,0.8589557212422617,0.842181111023712,1.952907443737558
GP + EI,4,0.6750100781793719,0.6669458528271519,1.194682214815322
GP + EI,5,0.7573079992542066,0.7575741464123333,-0.03514384614831539
GP + EI,6,0.7758028932637765,0.7443481351716583,4.054478059470631
GP + EI,7,0.5683036581754862,0.5361560246355622,5.656770474279993
GP + EI,8,1.0115884660473866,0.9866512648124109,2.465152784156746
GP + EI,9,1.008716165220852,1.0610218167931214,-5.185368627538283
