acquisition_fn,round,labeled_size,mean_mae,std_mae,mean_rmse,std_rmse
target_oriented,0,200,0.8078460683201409,0.08650706542304268,0.9566106413151187,0.09251533105925384
target_oriented,1,250,0.792077381961709,0.0769222618603798,0.9486060933760483,0.07933651089083267
target_oriented,2,300,0.7918289347192642,0.08488375520274294,0.9520872117492711,0.08638947431651865
target_oriented,3,350,0.7747324856765998,0.08248549970994064,0.940200848386983,0.08585160507990103
target_oriented,4,400,0.7551510124473954,0.07924708470338382,0.9176400856098551,0.08406003602676304
target_oriented,5,450,0.7536447987741145,0.08675262155826621,0.9155727524934834,0.0895269950279653
target_oriented,6,500,0.7490767786354137,0.08320727067258488,0.9106534039004522,0.08139296754909542
uncertainty,0,200,0.7769897334539295,0.04967117886298128,0.9247209479748438,0.06581992067100893
uncertainty,1,250,0.7681735452210368,0.04802664144109832,0.9150166659453494,0.06085841340145271
uncertainty,2,300,0.757132021365004,0.05097951179237507,0.9101055424840523,0.06043818426218869
uncertainty,3,350,0.7644162163301899,0.058206776547915014,0.9209349850342303,0.06149647776367948
uncertainty,4,400,0.7613318980022432,0.06331422083929712,0.9182354624931293,0.06997083599909223
uncertainty,5,450,0.7611294960093964,0.07138085414288864,0.9192481717910402,0.07630924416230227
uncertainty,6,500,0.7539953541966501,0.07058117901050394,0.9149767277613549,0.07673853299792181
random,0,200,0.7933796744513676,0.07584284595705702,0.9433666714563961,0.08144490667001633
random,1,250,0.7981021275335854,0.07988523417670917,0.9460276373225586,0.08425251726070548
random,2,300,0.7822826361867184,0.07623687161400439,0.9312005326749588,0.0811213952346288
random,3,350,0.7851023196209928,0.07851022893026721,0.935459301921966,0.08288222540895727
random,4,400,0.7760911841883289,0.07261647680236273,0.9288941564943485,0.0781696568727736
random,5,450,0.7767883944290672,0.07284920743638224,0.9298733977180138,0.07996262125969872
random,6,500,0.7668920704740748,0.07610556602120885,0.9236062674039338,0.08448144395300312
